version_id,local_language_id,name
31,6,"Let's Go, Pikachu!"
31,7,"Let's Go, Pikachu!"
31,8,"Let's Go, Pikachu!"
31,9,"Let’s Go, Pikachu!"
31,12,"Let's Go！皮卡丘"
32,1,"Let's Go! イーブイ"
32,3,"레츠고! 이브이"
32,4,"Let's Go！伊布"
32,5,"Let's Go, Évoli"
32,6,"Let's Go, Evoli!"
32,8,"Let's Go, Eevee!"
32,7,"Let's Go, Eevee!"
32,9,"Let’s Go, Eevee!"
32,12,Let's Go！伊布"
33,1, ソード
33,3,소드
33,4,劍
33,5,Épée
33,6,Schwert
33,7,Espada
33,8,çSpada
33,9,Sword
33,12,剑
34,1,シールド
34,3,실드
34,4,盾
34,5,Bouclier
34,6,Schild
34,7,Escudo
34,8,Spada
34,9,Shield
34,12,盾
